2026-01-08 13:01:18,809 | INFO | cerdos | INICIO GOLD CERDOS
2026-01-08 13:03:52,235 | INFO | cerdos | INICIO GOLD CERDOS
2026-01-08 13:03:58,824 | INFO | cerdos |                            
2026-01-08 13:03:58,824 | INFO | cerdos | GOLD CERDOS FINALIZADO OK
2026-01-08 13:03:58,824 | INFO | cerdos |                            
2026-01-08 13:04:33,208 | INFO | cerdos | INICIO GOLD CERDOS
2026-01-08 13:04:39,850 | INFO | cerdos |                            
2026-01-08 13:04:39,851 | INFO | cerdos | GOLD CERDOS FINALIZADO OK
2026-01-08 13:04:39,851 | INFO | cerdos |                            
